number,address,phone,build_year
140,Aşgabat şäheriniň Köşi köçesiniň 102-nji jaýy,kätip: 97-72-78 nobatçy: 97-58-78,2016ý
141,Täze zaman ýaşaýyş toplumynyň Parahat köçesiniň 4-nji jaýy,mudir: 24-76-31katip: 24-77-90 nobatçy: 24-77-91,2016ý
142,Aşgabat şäheriniň Bagtyýarlyk etrabynyň Täze zaman ýaşaýyş toplumy Ýüpek ýoly köçesiniň 2nji geçelgesi,nobatçy: 24-93-25 müdir: 24-93-26,2017ý
143,Aşgabat şäheriniň Büzmeýin etrabynyň Gurtly ýaşaýyş toplumy,Kätip: 862-35-32-18 nobatçy: 97-56-26,2017ý
144,Aşgabat şäheriniň Büzmeýin etrabynyň Gurtly ýaşaýyş toplumynyň 28-nji jaýy,nobatçy: 975185,2017ý
145,Bagtyýarlyk etrabynyň Täze zaman ýaşaýyş toplumy Erkana köçesiniň 143/1-nji jaýy,,2018ý
146,Ýasmansalyk ýaşaýyş toplumy,865609823,2022ý
147,Aşgabat şäheriniň Büzmeýin etrabynyň Gurtly ýaşaýyş toplumy,,2023ý
Köm.mek,Aşgabat şäheriniň A.Garlyýew köçesiniň 9-njy jaýy,kätip-nobatçy: 42-63-42 müdir: 42-89-95,1973ý
Sagaldyş tokaý,Aşgabat şäheriniň Esgerler köçesiniň 85-nji jaýy,müdir: 34-98-13 kätip: 34-12-48,1953ý
Saglygy dikeldiş okuw-terbiýeçilik toplumy,Aşgabat şäheriniň Baba Annanow köçesi 103-nji jaýy,Müdir: 43-28-28 kätip: 43-73-79 işgärler bölümi: 43-86-84 buhgalteriýa: 43-86-10 nobatçy: 43-86-08,2014ý
Aşgabat şäheriniň çagalar we ýetginjekler köşgi,Aşgabat şäheriniň Berkararlyk etraby Görogly köçesiniň 2-nji jaýy,27-54-49,1996ý
Büzmeýin etrabyňyň çagalar we ýetginjekler döredijilik öýi,Aşgabat şäheriniň Büzmeýin etrabynyň 5-nji jaýy,müdir: 33-01-56,1965ý
Aşgabat şäheriniň Bagtyýarlyk etrabynyň “Nowçalar öýi”,Aşgabat şäheriniň Şaja Batyrow köçesiniň 28-nji jaýy,361960,1992ý
Aşgabat şäheriniň Ýaş syýahatçylyar stansiýasynyň müdiri,N.Halmämmedow köçesiniň 1-nji geçelgesi,müdir: 43-08-77 kätip: 43-05-77 okuw müdir-nobatçy: 43-06-85 terbiýeçi: 43-07-40,1987ý
Berkararlyk etrabynyň nowçalar öýi,Baba Annanow köçesiniň 35-nji jaýy,76-35-59 76-30-22,2001ý
